% Time (s), Channel A (Input 1) (V), Channel B (Input 2) (V)
-1.366767360000e+00, 4.030288e-01, 2.320469e-02
-1.364087424000e+00, 3.981436e-01, 1.954079e-02
-1.361407488000e+00, 4.140205e-01, 1.954079e-02
-1.358727552000e+00, 4.103566e-01, 2.198339e-02
-1.356047616000e+00, 4.079140e-01, 2.076209e-02
-1.353367680000e+00, 3.969223e-01, 2.198339e-02
-1.350687744000e+00, 3.859306e-01, 2.076209e-02
-1.348007808000e+00, 3.932584e-01, 1.709819e-02
-1.345327872000e+00, 3.944797e-01, 2.198339e-02
-1.342647936000e+00, 4.103566e-01, 1.954079e-02
-1.339968000000e+00, 4.079140e-01, 2.198339e-02
-1.337288064000e+00, 4.066927e-01, 1.954079e-02
-1.334608128000e+00, 3.993649e-01, 2.198339e-02
-1.331928192000e+00, 3.944797e-01, 2.198339e-02
-1.329248256000e+00, 4.115779e-01, 2.076209e-02
-1.326568320000e+00, 4.042501e-01, 2.198339e-02
-1.323888384000e+00, 4.018075e-01, 2.198339e-02
-1.321208448000e+00, 4.005862e-01, 2.076209e-02
-1.318528512000e+00, 3.883732e-01, 2.198339e-02
-1.315848576000e+00, 4.018075e-01, 2.320469e-02
-1.313168640000e+00, 4.066927e-01, 2.198339e-02
-1.310488704000e+00, 3.957010e-01, 2.198339e-02
-1.307808768000e+00, 3.920371e-01, 2.931119e-02
-1.305128832000e+00, 4.042501e-01, 2.320469e-02
-1.302448896000e+00, 4.066927e-01, 2.198339e-02
-1.299768960000e+00, 4.066927e-01, 1.954079e-02
-1.297089024000e+00, 4.018075e-01, 2.198339e-02
-1.294409088000e+00, 4.018075e-01, 2.198339e-02
-1.291729152000e+00, 3.883732e-01, 2.320469e-02
-1.289049216000e+00, 3.981436e-01, 2.198339e-02
-1.286369280000e+00, 3.871519e-01, 2.198339e-02
-1.283689344000e+00, 4.054714e-01, 2.076209e-02
-1.281009408000e+00, 3.981436e-01, 2.198339e-02
-1.278329472000e+00, 4.018075e-01, 2.320469e-02
-1.275649536000e+00, 4.127992e-01, 2.198339e-02
-1.272969600000e+00, 4.115779e-01, 2.198339e-02
-1.270289664000e+00, 4.335613e-01, 1.678066e+00
-1.267609728000e+00, 4.408891e-01, 3.329262e+00
-1.264929792000e+00, 4.433317e-01, 3.330484e+00
-1.262249856000e+00, 4.555447e-01, 3.331705e+00
-1.259569920000e+00, 4.396678e-01, 3.332926e+00
-1.256889984000e+00, 4.482169e-01, 3.329262e+00
-1.254210048000e+00, 4.555447e-01, 3.330484e+00
-1.251530112000e+00, 4.604299e-01, 3.329262e+00
-1.248850176000e+00, 4.482169e-01, 3.330484e+00
-1.246170240000e+00, 4.518808e-01, 3.330484e+00
-1.243490304000e+00, 4.482169e-01, 3.330484e+00
-1.240810368000e+00, 4.421104e-01, 3.328041e+00
-1.238130432000e+00, 4.347826e-01, 3.330484e+00
-1.235450496000e+00, 4.384465e-01, 3.332926e+00
-1.232770560000e+00, 4.494382e-01, 3.330484e+00
-1.230090624000e+00, 4.604299e-01, 3.330484e+00
-1.227410688000e+00, 4.433317e-01, 3.329262e+00
-1.224730752000e+00, 4.518808e-01, 3.329262e+00
-1.222050816000e+00, 4.469956e-01, 3.331705e+00
-1.219370880000e+00, 4.567660e-01, 3.328041e+00
-1.216690944000e+00, 4.433317e-01, 3.330484e+00
-1.214011008000e+00, 4.421104e-01, 3.332926e+00
-1.211331072000e+00, 4.555447e-01, 3.319492e+00
-1.208651136000e+00, 4.372252e-01, 3.330484e+00
-1.205971200000e+00, 4.433317e-01, 3.331705e+00
-1.203291264000e+00, 4.347826e-01, 3.329262e+00
-1.200611328000e+00, 4.421104e-01, 3.330484e+00
-1.197931392000e+00, 4.457743e-01, 3.328041e+00
-1.195251456000e+00, 4.518808e-01, 3.329262e+00
-1.192571520000e+00, 4.531021e-01, 3.326820e+00
-1.189891584000e+00, 4.445530e-01, 3.332926e+00
-1.187211648000e+00, 4.445530e-01, 3.330484e+00
-1.184531712000e+00, 4.567660e-01, 3.331705e+00
-1.181851776000e+00, 4.433317e-01, 3.328041e+00
-1.179171840000e+00, 4.543234e-01, 3.331705e+00
-1.176491904000e+00, 4.433317e-01, 3.331705e+00
-1.173811968000e+00, 4.396678e-01, 3.328041e+00
-1.171132032000e+00, 4.176844e-01, 1.678066e+00
-1.168452096000e+00, 4.066927e-01, 2.198339e-02
-1.165772160000e+00, 4.054714e-01, 2.564729e-02
-1.163092224000e+00, 4.042501e-01, 2.198339e-02
-1.160412288000e+00, 4.018075e-01, 2.198339e-02
-1.157732352000e+00, 3.883732e-01, 2.320469e-02
-1.155052416000e+00, 4.066927e-01, 2.198339e-02
-1.152372480000e+00, 4.127992e-01, 2.076209e-02
-1.149692544000e+00, 4.079140e-01, 2.076209e-02
-1.147012608000e+00, 4.030288e-01, 7.327797e-03
-1.144332672000e+00, 4.201270e-01, 2.198339e-02
-1.141652736000e+00, 4.091353e-01, 2.564729e-02
-1.138972800000e+00, 3.969223e-01, 2.076209e-02
-1.136292864000e+00, 4.042501e-01, 2.198339e-02
