Time (s), Channel A (Input 1) (V), Channel B (Input 2) (V)
-1.366767360000e+00, 9.171959e-01, 3.328041e+00
-1.364087424000e+00, 8.341476e-01, 1.675623e+00
-1.361407488000e+00, 8.121642e-01, 2.320469e-02
-1.358727552000e+00, 7.852956e-01, 2.198339e-02
-1.356047616000e+00, 7.914021e-01, 3.297509e-02
-1.353367680000e+00, 8.072790e-01, 2.076209e-02
-1.350687744000e+00, 8.378115e-01, 2.076209e-02
-1.348007808000e+00, 8.109429e-01, 2.198339e-02
-1.345327872000e+00, 7.706400e-01, 2.320469e-02
-1.342647936000e+00, 8.023938e-01, 2.198339e-02
-1.339968000000e+00, 8.109429e-01, 2.320469e-02
-1.337288064000e+00, 7.962873e-01, 2.198339e-02
-1.334608128000e+00, 7.816317e-01, 1.954079e-02
-1.331928192000e+00, 7.901808e-01, 2.198339e-02
-1.329248256000e+00, 7.865169e-01, 2.076209e-02
-1.326568320000e+00, 8.097216e-01, 2.076209e-02
-1.323888384000e+00, 8.182707e-01, 2.320469e-02
-1.321208448000e+00, 8.011725e-01, 2.320469e-02
-1.318528512000e+00, 8.231559e-01, 2.198339e-02
-1.315848576000e+00, 7.950660e-01, 2.198339e-02
-1.313168640000e+00, 7.877382e-01, 1.831949e-02
-1.310488704000e+00, 8.146068e-01, 3.053249e-02
-1.307808768000e+00, 7.791891e-01, 1.954079e-02
-1.305128832000e+00, 7.718613e-01, 2.198339e-02
-1.302448896000e+00, 8.109429e-01, 2.076209e-02
-1.299768960000e+00, 8.072790e-01, 2.320469e-02
-1.297089024000e+00, 7.852956e-01, 2.076209e-02
-1.294409088000e+00, 7.865169e-01, 1.954079e-02
-1.291729152000e+00, 7.804104e-01, 1.954079e-02
-1.289049216000e+00, 7.914021e-01, 2.076209e-02
-1.286369280000e+00, 7.987299e-01, 1.465559e-02
-1.283689344000e+00, 7.950660e-01, 2.076209e-02
-1.281009408000e+00, 8.085003e-01, 2.076209e-02
-1.278329472000e+00, 7.926234e-01, 1.099170e-02
-1.275649536000e+00, 8.207133e-01, 2.198339e-02
-1.272969600000e+00, 8.146068e-01, 2.076209e-02
-1.270289664000e+00, 8.353689e-01, 2.442599e-02
-1.267609728000e+00, 8.060577e-01, 2.076209e-02
-1.264929792000e+00, 8.463606e-01, 1.676844e+00
-1.262249856000e+00, 9.147533e-01, 3.332926e+00
-1.259569920000e+00, 8.781144e-01, 3.337812e+00
-1.256889984000e+00, 8.988764e-01, 3.328041e+00
-1.254210048000e+00, 8.805570e-01, 3.330484e+00
-1.251530112000e+00, 8.842209e-01, 3.329262e+00
-1.248850176000e+00, 8.878848e-01, 3.329262e+00
-1.246170240000e+00, 8.952125e-01, 3.328041e+00
-1.243490304000e+00, 8.976551e-01, 3.325599e+00
-1.240810368000e+00, 8.964338e-01, 3.331705e+00
-1.238130432000e+00, 9.135320e-01, 3.334148e+00
-1.235450496000e+00, 8.939912e-01, 3.329262e+00
-1.232770560000e+00, 9.013190e-01, 3.330484e+00
-1.230090624000e+00, 9.086468e-01, 3.330484e+00
-1.227410688000e+00, 8.939912e-01, 3.331705e+00
-1.224730752000e+00, 8.829996e-01, 3.335369e+00
-1.222050816000e+00, 9.196385e-01, 3.329262e+00
-1.219370880000e+00, 8.891061e-01, 3.329262e+00
-1.216690944000e+00, 8.939912e-01, 3.330484e+00
-1.214011008000e+00, 8.829996e-01, 3.326820e+00
-1.211331072000e+00, 8.854422e-01, 3.331705e+00
-1.208651136000e+00, 8.976551e-01, 3.325599e+00
-1.205971200000e+00, 8.793357e-01, 3.329262e+00
-1.203291264000e+00, 9.208598e-01, 3.330484e+00
-1.200611328000e+00, 8.927699e-01, 3.329262e+00
-1.197931392000e+00, 9.000977e-01, 3.331705e+00
-1.195251456000e+00, 8.939912e-01, 3.329262e+00
-1.192571520000e+00, 8.903274e-01, 3.331705e+00
-1.189891584000e+00, 8.903274e-01, 3.331705e+00
-1.187211648000e+00, 9.184172e-01, 3.331705e+00
-1.184531712000e+00, 8.964338e-01, 3.329262e+00
-1.181851776000e+00, 9.049829e-01, 3.331705e+00
-1.179171840000e+00, 9.245237e-01, 3.331705e+00
-1.176491904000e+00, 9.171959e-01, 3.329262e+00
-1.173811968000e+00, 8.842209e-01, 3.328041e+00
-1.171132032000e+00, 8.891061e-01, 3.328041e+00
-1.168452096000e+00, 8.805570e-01, 3.329262e+00
-1.165772160000e+00, 8.829996e-01, 1.676844e+00
-1.163092224000e+00, 7.975086e-01, 2.198339e-02
-1.160412288000e+00, 8.109429e-01, 2.198339e-02
-1.157732352000e+00, 8.133855e-01, 2.076209e-02
-1.155052416000e+00, 8.048364e-01, 1.343429e-02
-1.152372480000e+00, 8.121642e-01, 2.076209e-02
-1.149692544000e+00, 7.950660e-01, 3.175379e-02
-1.147012608000e+00, 7.975086e-01, 1.954079e-02
-1.144332672000e+00, 8.072790e-01, 2.198339e-02
-1.141652736000e+00, 8.109429e-01, 2.198339e-02
-1.138972800000e+00, 8.109429e-01, 2.198339e-02
