% Time (s), Channel A (Input 1) (V), Channel B (Input 2) (V)
-1.40E-01,2.20E-02,1.95E-02
-1.40E-01,2.32E-02,1.95E-02
-1.40E-01,2.08E-02,2.08E-02
-1.40E-01,2.08E-02,1.95E-02
-1.39E-01,2.20E-02,2.20E-02
-1.39E-01,2.32E-02,1.95E-02
-1.39E-01,2.44E-02,1.95E-02
-1.39E-01,2.32E-02,2.08E-02
-1.38E-01,2.44E-02,2.08E-02
-1.38E-01,2.20E-02,1.95E-02
-1.38E-01,2.32E-02,2.08E-02
-1.37E-01,2.32E-02,2.08E-02
-1.37E-01,2.32E-02,1.95E-02
-1.37E-01,2.20E-02,2.20E-02
-1.37E-01,2.44E-02,1.83E-02
-1.36E-01,2.20E-02,2.08E-02
-1.36E-01,2.32E-02,2.20E-02
-1.36E-01,2.20E-02,2.08E-02
-1.36E-01,2.32E-02,1.95E-02
-1.35E-01,2.32E-02,1.59E-02
-1.35E-01,2.20E-02,2.20E-02
-1.35E-01,2.32E-02,2.20E-02
-1.34E-01,2.32E-02,2.08E-02
-1.34E-01,2.44E-02,1.95E-02
-1.34E-01,2.44E-02,1.71E-02
-1.34E-01,2.32E-02,1.59E-02
-1.33E-01,2.32E-02,1.83E-02
-1.33E-01,2.32E-02,2.20E-02
-1.33E-01,2.32E-02,2.32E-02
-1.32E-01,2.32E-02,1.83E-02
-1.32E-01,2.44E-02,2.20E-02
-1.32E-01,2.32E-02,1.95E-02
-1.32E-01,2.32E-02,1.95E-02
-1.31E-01,2.32E-02,2.08E-02
-1.31E-01,2.32E-02,2.08E-02
-1.31E-01,2.44E-02,1.95E-02
-1.31E-01,2.32E-02,2.93E-02
-1.30E-01,2.32E-02,2.08E-02
-1.30E-01,2.32E-02,1.95E-02
-1.30E-01,2.20E-02,1.95E-02
-1.29E-01,2.44E-02,1.95E-02
-1.29E-01,2.32E-02,1.95E-02
-1.29E-01,2.44E-02,2.08E-02
-1.29E-01,2.44E-02,2.20E-02
-1.28E-01,2.32E-02,2.08E-02
-1.28E-01,2.32E-02,2.08E-02
-1.28E-01,2.44E-02,2.08E-02
-1.28E-01,2.32E-02,1.95E-02
-1.27E-01,2.32E-02,2.08E-02
-1.27E-01,2.32E-02,2.20E-02
-1.27E-01,2.08E-02,2.08E-02
-1.26E-01,2.32E-02,1.83E-02
-1.26E-01,2.20E-02,2.32E-02
-1.26E-01,2.20E-02,1.95E-02
