Distance_(pixels),Gray_Value
0,5.6500
1,6.8167
2,8.5333
3,10.7000
4,13.6833
5,16.7000
6,21.3833
7,23.3833
8,27.3333
9,29.9500
10,33.6167
11,37.1167
12,39.7667
13,41.9500
14,43.4667
15,44.8167
16,47.0333
17,48.9500
18,49.7167
19,49.9000
20,50.8167
21,52.7333
22,53.2000
23,52.6000
24,52.9333
25,55.1667
26,58.0833
27,60.3500
28,61.8000
29,63.5667
30,65.6000
31,67.2333
32,67.6000
33,69.6000
34,72.0000
35,73.7833
36,74.1667
37,74.8333
38,76.1000
39,77.8000
40,80.5333
41,81.3500
42,82.4667
43,82.4667
44,81.8667
45,81.6667
46,82.1667
47,82.9333
48,83.0500
49,81.5167
50,79.6167
51,77.7500
52,76.2667
53,74.1667
54,72.0667
55,69.9333
56,66.5167
57,65.0167
58,63.2500
59,60.7667
60,58.7667
61,56.7833
62,56.1667
63,55.7833
64,57.3833
65,57.3667
66,57.8833
67,57.9167
68,58.2167
69,57.8667
70,57.7667
71,57.5500
72,58.7667
73,58.9000
74,58.7167
75,55.8500
76,52.5500
77,49.4167
78,48.0833
79,47.4833
80,46.3500
81,45.3167
82,45.1500
83,45.9167
84,47.6667
85,50.1500
86,54.8833
87,59.6167
88,64.5000
89,67.6333
90,71.8000
91,75.7833
92,80.1333
93,83.5833
94,86.5667
95,88.4667
96,89.9833
97,90.6000
98,91.5000
99,92.3500
100,93.2167
101,93.2667
102,94.2167
103,95.1833
104,95.4500
105,95.4667
106,95.3667
107,94.9333
108,94.3667
109,93.8667
110,93.2667
111,92.5500
112,90.9667
113,89.0500
114,86.2333
115,83.1500
116,81.7833
117,80.5167
118,78.3167
119,75.2167
120,72.0833
121,70.7167
122,69.4167
123,67.6500
124,66.4833
125,64.7667
126,62.5500
127,60.1500
128,57.7667
129,55.8667
130,53.9833
131,51.9667
132,50.5500
133,48.8167
134,47.2833
135,45.7667
136,45.1000
137,43.7667
138,42.5833
139,40.7667
140,39.5500
141,36.9167
142,34.7167
143,31.9333
144,28.0667
145,25.4833
146,22.8000
147,18.3167
148,13.9500
149,10.2833
150,7.6000
