Distance_(pixels),Gray_Value
0,51.5667
1,46.8417
2,40.8250
3,32.9667
4,31.0250
5,33.3750
6,33.6333
7,35.3917
8,36.0000
9,36.7417
10,37.0667
11,37.1167
12,36.3583
13,35.9000
14,35.0250
15,33.0083
16,31.7917
17,29.8667
18,27.8667
19,26.2000
20,24.3167
21,22.9500
22,21.8333
23,21.5333
24,21.7583
25,23.3833
26,25.3583
27,30.0417
28,34.7083
29,40.4500
30,44.6917
31,50.7917
32,54.6750
33,59.5667
34,64.1583
35,67.0500
36,69.2917
37,71.2000
38,72.4583
39,72.4750
40,71.9083
41,70.9333
42,68.5000
43,65.2417
44,61.0167
45,57.1667
46,54.1583
47,51.1250
48,49.3583
49,47.8750
50,47.5583
51,48.7250
52,50.9250
53,53.3500
54,54.8417
55,56.8583
56,58.2583
57,60.0750
58,61.3667
59,62.0667
60,61.5833
61,60.9000
62,60.0917
63,59.8750
64,58.6000
65,57.1333
66,56.0000
67,55.9667
68,56.6000
69,57.8417
70,58.5833
71,60.2833
72,61.0250
73,62.1083
74,62.7083
75,63.3750
76,63.8500
77,64.5250
78,64.9083
79,66.0333
80,67.0083
81,68.3833
82,69.4583
83,70.2250
84,70.4583
85,70.5833
86,70.6083
87,69.2667
88,68.4167
89,67.5333
90,66.4000
91,65.7250
92,65.4833
93,65.8833
94,66.1583
95,67.9083
96,68.2583
97,68.7250
98,69.0000
99,68.4917
100,66.8417
101,64.8167
102,62.6250
103,58.3167
104,55.5167
105,52.8917
106,51.0583
107,50.3667
108,50.1167
109,51.0583
110,52.2250
111,53.9833
112,54.3500
113,54.6000
114,54.4000
115,53.8083
116,52.9167
117,52.2167
118,52.1000
119,53.0833
120,54.3333
121,56.5917
122,59.1833
123,61.7917
124,63.9333
125,65.6583
126,66.4750
127,66.7583
128,66.4833
129,65.8667
130,65.1917
131,64.5417
132,64.2667
133,64.4750
134,64.8333
135,65.9417
136,66.5000
137,66.6167
138,65.4500
139,63.7833
140,61.2083
141,58.1250
142,55.2417
143,51.6667
144,50.7250
145,50.0917
146,50.4417
147,51.7250
148,53.8833
149,56.3667
150,57.9417
151,58.6000
152,58.3000
153,57.2500
154,55.0417
155,52.4417
156,50.2333
157,49.0667
158,48.8250
159,50.2833
160,51.5250
161,53.4500
162,55.9000
163,57.9833
164,59.9583
165,61.5417
166,62.3750
167,62.6000
168,62.6500
169,62.6667
170,62.6000
171,62.9000
172,63.4750
173,64.9750
174,65.9750
175,67.3583
176,67.8583
177,68.8667
178,69.5167
179,69.9750
180,70.1000
181,69.7750
182,69.4000
183,69.8167
184,70.1667
185,70.7833
186,71.2333
187,71.6750
188,71.8083
189,72.1583
190,72.3333
191,72.1417
192,71.7250
193,71.3833
194,71.4667
195,71.5333
196,71.5000
197,71.3917
198,70.9750
199,69.6833
200,68.2667
201,66.7250
202,64.6333
203,63.3000
204,62.1333
205,61.8917
206,61.8333
207,62.8667
208,64.3333
209,66.9333
210,69.4750
211,71.4750
212,72.1083
213,72.2250
214,72.1250
215,71.6500
216,70.6417
217,69.4250
218,67.6333
219,65.5250
220,63.5667
221,62.3917
222,61.6583
223,61.5250
224,62.5667
225,64.7917
226,67.1000
227,69.4667
228,71.4667
229,73.2333
230,74.0083
231,74.7833
232,74.4417
233,74.0833
234,73.3667
235,72.4917
236,71.6000
237,70.8333
238,70.5083
239,70.5083
240,71.0917
241,71.9333
242,71.8833
243,71.2083
244,70.1833
245,69.7250
246,69.5667
247,69.2583
248,70.0167
249,71.4583
250,73.5417
251,75.6583
252,77.4750
253,78.8667
254,79.5583
255,79.3250
256,78.8667
257,77.9833
258,76.4167
259,74.3500
260,71.6583
261,69.0000
262,66.9333
263,64.8917
264,64.3833
265,64.6083
266,66.2250
267,69.3583
268,73.0167
269,76.3083
270,78.4083
271,81.1833
272,82.1917
273,83.3250
274,83.8667
275,84.0583
276,83.3333
277,81.3167
278,79.0583
279,76.1917
280,74.6750
281,73.5833
282,73.3500
283,74.3417
284,75.7167
285,77.1667
286,77.9417
287,79.2167
288,79.5333
289,79.8917
290,80.1167
291,80.0167
292,79.5833
293,79.0000
294,78.8000
295,79.4167
296,79.8667
297,81.0833
298,82.3333
299,83.3333
300,83.4667
301,83.2583
302,82.4917
303,80.2500
304,78.4167
305,76.0750
306,73.9667
307,72.5333
308,71.2000
309,70.3833
310,69.7417
311,68.2667
312,67.1917
313,65.8667
314,64.4333
315,63.6333
316,63.4000
317,64.3583
318,65.3250
319,66.9833
320,68.0917
321,68.8917
322,69.4083
323,69.3583
324,68.8417
325,68.8667
326,69.0083
327,69.6083
328,70.7667
329,72.2417
330,73.5250
331,74.4000
332,74.4167
333,74.6750
334,74.5500
335,73.6417
336,71.9833
337,69.8333
338,67.2583
339,64.9333
340,63.1583
341,62.2000
342,61.6750
343,62.6750
344,63.7083
345,65.4833
346,66.5250
347,67.0917
348,66.9167
349,66.9250
350,66.7167
351,67.2500
352,67.7167
353,68.7083
354,69.5667
355,70.1917
356,70.8500
357,71.6000
358,72.3000
359,73.0500
360,72.9333
361,72.6167
362,72.3750
363,72.1417
364,71.6750
365,71.0417
366,70.8250
367,69.0583
368,68.3667
369,67.5833
370,66.2167
371,64.6250
372,62.8333
373,61.6833
374,60.6250
375,59.0167
376,57.0333
377,55.3833
378,54.4917
379,54.1833
380,53.7500
381,53.7833
382,53.9667
383,53.4417
384,53.5000
385,53.5750
386,53.1583
387,52.9667
388,52.8833
389,53.2333
390,53.5083
391,53.7500
392,54.6333
393,55.6833
394,57.0167
395,58.3167
396,59.6000
397,60.9417
398,62.0750
399,63.3583
400,63.6833
401,63.9417
402,63.9417
403,63.9000
404,63.8750
405,64.3833
406,64.3750
407,63.8167
408,63.0083
409,62.2333
410,61.0250
411,59.6000
412,57.5333
413,55.5917
414,53.9500
415,51.3667
416,49.4500
417,46.6750
418,44.0750
419,42.3250
420,41.1667
421,40.8500
422,40.7000
423,40.9750
424,41.6167
425,42.5750
426,43.6167
427,44.5083
428,45.0417
429,45.9417
430,46.4250
431,46.9083
432,46.9667
433,46.7833
434,46.3917
435,45.8667
436,45.4583
437,45.9417
438,46.6833
439,47.7417
440,49.1167
441,51.2667
442,52.9667
443,54.9500
444,56.5917
445,58.1667
446,59.2333
447,60.2000
448,60.4667
449,60.7250
450,60.2250
451,59.1250
452,57.2417
453,54.9833
454,53.0750
455,49.8500
456,47.5667
457,44.7917
458,42.3917
459,41.0583
460,39.8917
461,39.2500
462,38.9083
463,40.0583
464,40.9833
465,42.5750
466,44.3167
467,46.6417
468,48.8000
469,51.3000
470,53.2000
471,56.0000
472,57.5500
473,59.5167
474,60.9667
475,61.9917
476,62.2167
477,62.3583
478,62.3000
479,62.0250
480,61.8583
481,61.5583
482,60.4500
483,59.1750
484,57.6333
485,56.1500
486,54.8750
487,52.6667
488,50.9750
489,49.3000
490,46.6667
491,44.6750
492,41.5000
493,38.8167
494,36.3583
495,33.6583
496,31.2500
497,28.6583
498,26.3333
499,24.6083
500,22.1250
501,19.7000
502,17.3250
503,14.9833
504,14.2083
