Distance_(pixels),Gray_Value
0,5.0108
1,5.5376
2,5.5806
3,5.5806
4,5.1935
5,5.8065
6,6.1935
7,6.2151
8,8.0000
9,8.0000
10,8.7419
11,9.2688
12,9.2473
13,9.3441
14,9.8172
15,10.3978
16,11.8065
17,12.3548
18,13.1398
19,13.5591
20,14.1505
21,14.7204
22,15.7312
23,16.3441
24,18.1183
25,18.9032
26,19.5376
27,20.9570
28,21.7312
29,23.0000
30,23.8602
31,23.9570
32,24.8280
33,25.1075
34,25.6774
35,26.0645
36,27.3011
37,28.2688
38,29.3333
39,29.3871
40,29.9677
41,30.1828
42,30.4086
43,31.0323
44,31.9140
45,32.6882
46,33.7527
47,34.2258
48,36.2043
49,37.0108
50,37.2366
51,37.9677
52,38.3441
53,39.4301
54,40.2043
55,40.4086
56,42.2151
57,42.5699
58,42.8280
59,43.4946
60,43.9785
61,44.5161
62,44.8925
63,45.2043
64,45.7634
65,46.1075
66,46.6344
67,46.7957
68,47.3333
69,47.3118
70,47.2796
71,47.2688
72,47.7742
73,47.8280
74,47.9785
75,48.1290
76,48.3441
77,48.2903
78,48.6129
79,48.7097
80,48.5054
81,48.5591
82,48.9570
83,49.4516
84,49.7097
85,49.8172
86,50.5054
87,50.5054
88,51.1183
89,51.8817
90,52.6559
91,52.5054
92,52.9140
93,53.6989
94,55.0323
95,55.7204
96,55.7204
97,56.2043
98,56.7097
99,57.2043
100,57.8065
101,58.4839
102,59.1505
103,59.8495
104,61.5591
105,61.4301
106,61.6882
107,62.6989
108,64.3441
109,65.0968
110,64.8602
111,64.6452
112,66.5914
113,67.9355
114,68.7742
115,68.7850
116,69.4086
117,71.3011
118,71.9570
119,72.1828
120,73.1936
121,73.7742
122,74.4946
123,75.9032
124,76.8387
125,78.0860
126,78.5699
127,78.7634
128,80.3011
129,80.3656
130,80.4516
131,80.4624
132,80.8064
133,80.8387
134,80.9140
135,80.9140
136,81.2473
137,81.2688
138,81.3333
139,81.3763
140,81.4194
141,81.4409
142,81.4839
143,81.4946
144,81.3656
145,81.3656
146,81.3548
147,81.3548
148,81.3548
149,81.3548
150,81.3548
151,81.3441
152,81.3333
153,81.3333
154,81.3333
155,81.3333
156,81.3333
157,81.3333
158,81.3333
159,81.3333
160,81.3548
161,81.3548
162,81.3333
163,81.3333
164,81.2903
165,81.2796
166,81.2473
167,81.2258
168,81.1183
169,81.0968
170,81.0645
171,81.0430
172,80.7850
173,80.7634
174,80.7312
175,80.6237
176,80.5269
177,80.0968
178,79.8172
179,79.3871
180,78.9785
181,78.2043
182,77.4194
183,76.8064
184,76.2581
185,75.4731
186,74.8602
187,73.9355
188,73.0107
189,72.0645
190,71.1828
191,70.2796
192,69.2581
193,67.9462
194,67.5161
195,66.6667
196,65.6452
197,64.5376
198,64.9140
199,66.0323
200,64.9570
201,64.1183
202,63.5054
203,62.5806
204,61.7312
205,60.7097
206,60.2796
207,60.1183
208,60.4624
209,59.5054
210,58.0860
211,57.1720
212,56.7957
213,56.7204
214,57.1183
215,57.1183
216,56.8387
217,56.3656
218,55.4946
219,54.4839
220,53.5269
221,52.8495
222,52.5914
223,52.2688
224,51.5699
225,51.0968
226,50.7957
227,50.2151
228,49.6129
229,49.4409
230,49.4624
231,49.5914
232,48.7742
233,48.1613
234,47.7419
235,47.7742
236,48.3118
237,48.4086
238,48.4839
239,48.1613
240,48.1075
241,47.5269
242,46.8495
243,46.2796
244,45.5054
245,45.3548
246,45.1398
247,45.2688
248,45.1075
249,44.0108
250,43.3656
251,42.2258
252,41.8064
253,41.2903
254,40.9462
255,40.6129
256,39.4946
257,38.9892
258,38.6667
259,37.9032
260,37.6021
261,36.2688
262,36.3979
263,35.3979
264,35.1290
265,34.3118
266,33.5806
267,31.7097
268,30.9677
269,29.6989
270,29.3656
271,28.4624
272,27.0860
273,26.2043
274,26.3118
275,25.1720
276,24.5484
277,23.7527
278,23.3979
279,22.6989
280,20.8065
281,19.5699
282,19.3118
283,17.6989
284,17.4194
285,15.9677
286,15.7312
287,15.1075
288,14.4194
289,14.3441
290,14.0430
291,13.7527
292,13.4301
293,12.9785
294,13.0430
295,12.3978
296,10.9785
297,10.3763
298,10.2903
299,9.4194
300,8.5591
301,8.2366
302,7.4624
303,7.3118
304,6.2151
305,5.9892
306,5.9892
307,5.9892
308,5.9892
309,5.9892
