Distance_(pixels),Gray_Value
0,5.976
1,5.822
2,5.783
3,5.769
4,5.759
5,5.792
6,5.881
7,5.921
8,5.936
9,5.957
10,6.005
11,6.012
12,5.886
13,5.882
14,5.889
15,5.798
16,5.617
17,5.650
18,5.744
19,5.752
20,5.713
21,5.520
22,5.345
23,5.307
24,5.094
25,4.942
26,4.897
27,4.903
28,4.992
29,5.055
30,5.136
31,5.203
32,5.358
33,5.568
34,5.704
35,5.753
36,5.826
37,5.834
38,5.756
39,5.553
40,5.427
41,5.289
42,5.142
43,5.020
44,5.011
45,5.115
46,5.266
47,5.509
48,5.724
49,5.856
50,5.994
51,6.078
52,6.104
53,6.152
54,6.173
55,6.187
56,6.148
57,5.917
58,5.710
59,5.588
60,5.414
61,5.236
62,5.326
63,5.316
64,5.306
65,5.265
66,5.265
67,5.266
68,5.324
69,5.383
70,5.414
71,5.414
72,5.427
73,5.422
74,5.470
75,5.548
76,5.622
77,5.646
78,5.661
79,5.669
80,5.729
81,5.836
82,5.859
83,5.843
84,5.832
85,5.896
86,6.007
87,6.136
88,6.339
89,6.451
90,6.501
91,6.537
92,6.561
93,6.425
94,6.284
95,6.232
96,6.257
97,6.335
98,6.328
99,6.283
100,6.367
101,6.274
102,6.044
103,6.110
104,6.246
105,6.283
106,6.477
107,6.777
108,6.973
109,7.111
110,7.202
111,7.372
112,7.553
113,7.650
114,7.713
115,7.781
116,7.732
117,7.646
118,7.550
119,7.421
120,7.266
121,7.089
122,6.992
123,6.918
124,6.913
125,7.027
126,7.267
127,7.418
128,7.522
129,7.701
130,7.906
131,8.051
132,8.302
133,8.352
134,8.214
135,8.044
136,8.038
137,8.086
138,8.130
139,7.988
140,7.710
141,7.415
142,7.219
143,7.189
144,7.175
145,7.228
146,7.268
147,7.244
148,7.067
149,6.899
150,6.725
151,6.668
152,6.644
153,6.600
154,6.465
155,6.538
156,6.763
157,6.988
158,7.197
159,7.246
160,7.329
161,7.589
162,7.723
163,7.690
164,7.592
165,7.529
166,7.552
167,7.610
168,7.728
169,8.004
170,8.432
171,8.721
172,8.863
173,9.066
174,9.233
175,9.292
176,9.240
177,9.164
178,9.095
179,9.053
180,9.202
181,9.356
182,9.345
183,9.273
184,9.241
185,9.400
186,9.506
187,9.579
188,9.698
189,9.761
190,9.803
191,9.909
192,9.975
193,10.015
194,9.999
195,9.823
196,9.635
197,9.511
198,9.327
199,9.229
200,9.177
201,9.010
202,8.857
203,8.879
204,8.891
205,8.713
206,8.580
207,8.458
208,8.350
209,8.294
210,8.334
211,8.460
212,8.596
213,8.723
214,8.870
215,8.996
216,9.038
217,9.119
218,9.243
219,9.380
220,9.526
221,9.665
222,9.767
223,9.881
224,10.013
225,10.174
226,10.308
227,10.365
228,10.347
229,10.405
230,10.564
231,10.426
232,10.421
233,10.654
234,10.636
235,10.463
236,10.293
237,9.870
238,9.479
