Distance_(pixels),Gray_Value
0,18.381
1,18.742
2,18.836
3,18.928
4,19.039
5,19.131
6,19.223
7,19.322
8,19.458
9,19.519
10,19.805
11,20.126
12,20.404
13,20.510
14,20.549
15,20.994
16,21.764
17,21.832
18,21.793
19,21.796
20,21.774
21,21.779
22,21.713
23,21.832
24,21.421
25,21.028
26,20.756
27,20.440
28,19.728
29,19.412
30,19.234
31,19.098
32,19.447
33,19.603
34,19.735
35,19.932
36,20.079
37,20.257
38,20.339
39,20.431
40,20.450
41,20.461
42,20.466
43,20.486
44,20.509
45,20.529
46,20.585
47,20.589
48,21.052
49,21.020
50,21.071
51,21.265
52,21.561
53,21.766
54,21.808
55,21.827
56,22.012
57,22.205
58,22.315
59,22.460
60,22.604
61,22.635
62,22.658
63,22.742
64,23.067
65,22.994
66,23.000
67,23.143
68,23.209
69,23.162
70,22.891
71,22.682
72,22.392
73,22.353
74,22.093
75,21.638
76,21.334
77,21.117
78,20.890
79,20.461
80,20.546
81,20.352
82,20.199
83,19.995
84,19.944
85,19.814
86,19.879
87,19.807
88,19.700
89,19.801
90,19.823
91,19.768
92,19.660
93,19.689
94,19.671
95,19.664
96,19.753
97,19.467
98,19.547
99,19.586
100,19.646
101,19.847
102,20.340
103,20.604
104,21.531
105,22.099
106,22.412
107,22.762
108,23.512
109,24.333
110,24.914
111,25.649
112,27.043
113,27.730
114,27.863
115,28.024
116,27.953
117,27.800
118,27.587
119,27.329
120,27.227
121,26.471
122,25.905
123,25.204
124,24.743
125,24.431
126,24.220
127,24.219
128,23.737
129,23.743
130,23.574
131,23.394
132,23.148
133,23.010
134,22.963
135,22.878
136,22.439
137,22.653
138,22.686
139,22.684
140,22.681
141,22.685
142,22.692
143,22.698
144,22.820
145,22.699
146,22.833
147,22.749
148,22.626
149,22.420
150,22.421
151,22.375
152,22.529
153,22.390
154,22.589
155,22.775
156,22.742
157,22.544
158,22.718
159,23.037
160,23.893
161,24.782
162,25.429
163,26.332
164,27.192
165,27.952
166,28.557
167,29.085
168,29.408
169,29.826
170,29.662
171,29.615
172,29.461
173,29.431
174,29.205
175,28.939
176,28.324
177,27.730
178,27.153
179,26.621
180,26.249
181,25.744
182,25.373
183,24.943
184,24.861
185,24.985
186,24.947
187,24.937
188,24.938
189,24.928
190,24.918
191,24.925
192,25.073
193,25.279
194,25.304
195,25.360
196,25.397
197,25.766
198,25.700
199,25.656
200,25.484
201,25.930
202,26.109
203,26.328
204,26.488
205,26.864
206,27.009
207,27.177
208,27.416
209,27.197
210,27.225
211,26.990
212,27.278
213,27.388
214,27.412
215,27.052
216,27.245
217,27.342
218,27.137
219,26.679
220,26.211
221,25.655
222,25.430
223,25.077
224,24.699
225,24.377
226,24.255
227,24.160
228,24.215
229,24.426
230,24.363
231,24.416
232,24.387
233,24.912
234,25.038
235,25.607
236,25.727
237,25.884
238,25.959
239,26.332
240,26.298
241,26.979
242,27.091
243,27.220
244,27.440
245,27.726
246,27.923
247,28.312
248,28.893
249,29.343
250,29.935
251,30.881
252,31.754
253,32.498
254,32.733
255,32.865
256,33.338
257,33.075
258,32.881
259,32.619
260,32.512
261,32.662
262,33.006
263,33.255
264,33.580
265,33.613
266,33.509
267,33.468
268,33.394
269,33.363
270,33.283
271,33.157
272,32.470
273,31.929
274,31.327
275,30.490
276,29.586
277,28.484
278,27.545
279,26.956
280,26.284
281,25.797
282,25.993
283,26.169
284,26.393
285,26.704
286,26.937
287,27.095
288,28.104
289,29.223
290,29.974
291,30.674
292,31.163
293,31.406
294,31.374
295,31.401
296,31.222
297,31.372
298,31.235
299,30.875
300,30.627
301,30.265
302,30.088
303,29.904
304,29.941
305,30.190
306,30.188
307,30.481
308,30.727
309,31.055
310,31.632
311,32.481
