Distance_(pixels),Gray_Value
0,5.495
1,5.489
2,5.487
3,5.485
4,5.483
5,5.574
6,5.583
7,5.662
8,5.664
9,5.815
10,5.865
11,5.890
12,5.867
13,5.879
14,5.899
15,5.568
16,5.573
17,5.593
18,5.566
19,5.538
20,5.564
21,5.698
22,5.689
23,5.553
24,5.525
25,5.987
26,6.022
27,6.001
28,5.961
29,5.667
30,5.697
31,5.796
32,5.733
33,5.665
34,5.690
35,6.100
36,6.195
37,6.058
38,6.071
39,6.122
40,6.107
41,5.958
42,5.961
43,6.151
44,6.178
45,6.148
46,6.068
47,5.908
48,5.919
49,5.917
50,5.888
51,5.870
52,5.896
53,5.897
54,5.926
55,6.050
56,6.065
57,6.067
58,6.091
59,6.094
60,6.062
61,6.060
62,6.115
63,6.360
64,6.340
65,6.336
66,6.333
67,6.329
68,6.325
69,6.322
70,6.389
71,6.656
72,6.710
73,6.707
74,6.703
75,7.017
76,7.096
77,7.092
78,7.139
79,7.646
80,7.731
81,7.698
82,7.696
83,7.695
84,7.684
85,7.712
86,7.702
87,7.801
88,7.851
89,7.902
90,7.906
91,7.908
92,7.912
93,7.946
94,7.862
95,7.341
96,7.212
97,7.259
98,7.268
99,7.347
100,7.383
101,7.590
102,7.566
103,7.371
104,7.535
105,8.098
106,8.228
107,8.288
108,8.176
109,7.992
110,7.939
111,7.826
112,7.888
113,7.764
114,7.667
115,7.667
116,7.667
117,7.580
118,7.489
119,7.677
120,7.749
121,7.805
122,7.884
123,7.875
124,7.832
125,7.974
126,8.128
127,8.661
128,8.723
129,8.725
130,8.728
131,8.730
132,8.732
133,8.783
134,8.827
135,8.807
136,8.800
137,9.232
138,9.305
139,9.308
140,9.315
141,9.691
142,9.670
143,9.338
144,9.351
145,9.355
146,9.358
147,9.044
148,9.002
149,9.070
150,9.076
151,9.264
152,9.447
153,9.594
154,9.676
155,9.983
156,9.991
157,10.025
158,10.031
159,9.845
160,9.761
161,9.796
162,9.801
163,10.154
164,10.207
165,10.278
166,10.357
167,10.952
168,11.053
169,11.040
170,11.017
171,10.818
172,10.666
173,10.685
174,10.676
175,11.020
176,11.201
177,11.145
178,11.145
179,11.144
180,11.141
181,11.076
182,11.029
183,10.741
184,10.771
185,10.671
186,10.696
187,10.760
188,10.796
189,10.745
190,10.811
191,10.748
192,10.780
193,10.821
194,10.881
195,11.039
196,11.128
197,11.154
198,11.170
199,11.538
200,11.671
201,11.753
202,11.733
203,11.733
204,11.735
205,11.774
206,11.778
207,11.895
208,12.076
209,12.079
210,12.052
211,11.925
212,11.930
213,11.935
214,11.961
215,12.180
216,12.342
217,12.650
218,12.673
219,12.676
220,12.688
221,13.053
222,13.085
223,12.705
224,12.411
225,12.411
226,12.410
227,12.436
228,12.496
229,12.560
230,12.561
231,12.734
232,12.855
233,12.911
234,12.950
235,12.918
236,12.957
237,12.960
238,12.982
239,12.830
240,12.700
241,12.764
242,12.764
243,13.075
244,13.229
245,13.255
246,13.217
247,13.263
248,13.333
249,13.357
250,13.317
251,13.378
252,13.383
253,13.449
254,13.498
255,14.019
256,14.079
257,14.132
258,14.139
259,13.745
260,13.604
261,13.410
262,13.372
263,13.442
264,13.612
265,13.326
266,13.324
267,13.771
268,14.010
269,14.516
270,14.515
271,14.022
272,13.897
273,13.904
274,13.925
275,13.929
276,13.944
277,14.118
278,14.219
279,14.906
280,15.066
281,15.066
282,15.066
283,15.066
284,15.067
285,15.094
286,15.075
287,15.124
288,15.208
289,15.211
290,15.193
291,14.873
292,14.868
293,14.843
294,14.862
295,15.674
296,15.775
297,15.706
298,15.708
299,15.679
300,15.681
301,15.684
302,15.687
303,15.620
304,15.836
305,16.062
306,16.215
307,16.252
308,16.189
309,15.928
310,15.790
311,15.887
312,15.807
313,15.790
314,15.777
315,16.059
316,16.180
317,16.149
318,16.091
319,15.650
320,15.730
321,15.737
322,15.745
323,15.752
324,15.760
325,15.773
326,15.788
327,15.888
328,15.828
329,15.894
330,15.902
331,15.906
332,15.909
333,15.913
334,15.943
335,16.758
336,17.108
337,17.137
338,17.150
339,17.185
340,17.195
341,17.253
342,17.272
343,16.974
344,16.867
345,16.956
346,17.170
347,17.438
348,17.721
349,17.816
350,17.858
351,17.661
352,17.782
353,17.783
354,17.782
355,17.749
356,17.746
357,17.733
358,17.732
359,18.126
360,18.456
