Distance_(pixels),Gray_Value
0,64.463
1,64.463
2,64.525
3,64.449
4,64.204
5,64.187
6,64.186
7,64.193
8,64.267
9,64.318
10,64.374
11,64.369
12,64.358
13,64.364
14,64.403
15,64.463
16,64.734
17,64.773
18,64.807
19,64.852
20,65.327
21,65.643
22,65.984
23,66.203
24,66.595
25,66.599
26,66.651
27,66.655
28,66.674
29,66.792
30,67.037
31,67.314
32,67.613
33,67.626
34,67.573
35,67.559
36,67.169
37,67.128
38,67.488
39,67.730
40,67.973
41,68.623
42,69.313
43,69.538
44,70.016
45,69.929
46,70.686
47,71.276
48,72.382
49,73.389
50,74.659
51,75.403
52,76.261
53,76.892
54,77.744
55,78.380
56,78.920
57,79.084
58,78.966
59,78.937
60,78.800
61,78.673
62,78.607
63,78.481
64,78.625
65,78.809
66,79.465
67,79.480
68,79.027
69,79.165
70,79.364
71,79.411
72,79.444
73,79.222
74,79.055
75,78.738
76,77.714
77,77.415
78,77.214
79,76.659
80,76.245
81,75.739
82,75.290
83,75.137
84,75.295
85,75.173
86,75.195
87,75.178
88,75.119
89,75.070
90,75.203
91,75.226
92,75.222
93,75.367
94,75.818
95,76.165
96,76.701
97,76.969
98,77.344
99,77.437
100,77.087
101,77.084
102,77.162
103,77.090
104,76.954
105,76.943
106,76.601
107,76.558
108,76.101
109,76.043
110,76.070
111,76.095
112,75.784
113,75.756
114,75.765
115,75.860
116,75.940
117,75.820
118,75.761
119,75.895
120,75.886
121,75.994
122,75.962
123,75.872
124,75.626
125,75.664
126,75.713
127,75.861
128,75.963
129,75.981
130,75.991
131,76.103
132,76.551
133,76.592
134,76.848
135,77.124
136,77.852
137,78.523
138,79.148
139,79.824
140,81.663
141,82.458
142,83.220
143,84.413
144,85.157
145,85.609
146,85.934
147,85.992
148,85.881
149,85.487
150,84.791
151,83.499
152,82.073
153,80.623
154,79.447
155,78.496
156,77.628
157,76.942
158,76.684
159,75.968
160,75.453
161,75.046
162,74.978
163,74.588
164,74.844
165,74.653
166,74.546
167,74.582
168,74.405
169,74.562
170,74.827
171,75.004
172,76.314
173,76.540
174,76.878
175,77.082
176,77.674
177,77.999
178,78.396
179,78.563
180,79.470
181,79.552
182,79.764
183,80.055
184,80.523
185,81.101
186,81.652
187,82.120
188,82.894
189,83.157
190,83.245
191,83.457
192,83.533
193,83.672
194,83.761
195,83.868
196,84.036
197,84.072
198,84.036
199,83.924
200,83.988
201,84.012
202,84.009
203,84.290
204,84.920
205,85.308
206,85.607
207,86.190
208,87.044
209,87.582
210,87.831
211,88.466
212,88.892
213,89.166
214,89.128
215,88.922
216,88.738
217,88.456
218,88.242
219,87.980
220,87.220
221,87.002
222,86.889
223,86.791
224,87.129
225,87.117
226,87.115
227,87.016
228,87.071
229,87.281
230,88.091
231,88.983
232,89.584
233,89.247
234,88.667
235,88.207
236,88.215
237,89.688
238,91.154
239,92.298
240,93.296
241,93.560
242,93.592
243,93.547
244,93.820
245,93.753
246,93.632
247,93.455
248,93.196
249,92.932
250,92.675
251,92.576
252,92.663
253,92.789
254,92.894
255,93.139
256,93.527
257,93.818
258,94.035
259,94.117
260,93.906
261,93.507
262,92.985
263,92.406
264,91.910
265,91.573
266,91.493
267,91.280
268,91.844
269,91.428
270,91.060
271,90.688
272,90.986
273,91.141
274,91.457
275,91.710
276,91.741
277,91.672
278,91.700
279,91.680
280,91.725
281,91.787
282,91.910
283,92.180
284,93.394
285,94.123
286,95.186
287,96.514
288,98.087
289,99.584
290,100.828
291,101.841
292,103.586
293,104.372
294,105.703
295,107.213
296,109.087
297,110.413
298,111.505
299,111.948
300,112.461
301,112.586
302,112.445
303,112.233
304,111.656
305,111.087
306,111.189
307,110.714
308,109.719
309,109.350
310,109.360
311,109.427
312,109.656
313,109.790
314,109.950
315,110.243
316,111.057
317,111.461
318,112.147
319,112.889
320,114.047
321,114.999
322,115.908
323,116.729
324,118.738
325,119.445
326,120.118
327,120.947
328,121.792
329,122.723
330,123.725
331,124.288
332,125.011
333,125.768
334,126.633
335,127.741
336,128.901
337,130.082
338,130.977
339,132.036
340,134.581
341,136.085
342,138.106
343,140.338
344,142.792
345,144.530
346,145.608
347,146.328
348,148.564
349,150.278
350,151.793
351,153.192
352,156.100
353,162.303
354,175.768
355,189.224
356,203.727
357,214.133
358,224.355
359,230.888
360,235.491
361,238.637
362,241.974
363,245.609
364,248.123
365,249.186
366,251.179
367,252.210
368,252.738
369,252.950
370,253.166
371,253.525
372,254.529
373,254.969
374,254.964
375,254.912
376,254.931
377,254.984
378,255.000
379,255.000
380,255.000
381,255.000
382,255.000
383,254.959
384,254.600
385,254.600
386,254.600
387,254.600
388,254.600
389,254.643
390,255.000
391,255.000
392,255.000
393,254.955
394,254.600
395,254.613
396,254.746
397,254.731
398,254.813
399,254.811
400,254.810
401,254.779
402,254.700
