Distance_(pixels),Gray_Value
0,61.210
1,61.710
2,61.716
3,61.838
4,61.711
5,61.350
6,62.347
7,62.851
8,63.137
9,63.361
10,62.933
11,63.184
12,63.587
13,64.978
14,66.202
15,66.307
16,66.308
17,67.055
18,67.418
19,66.321
20,66.431
21,66.482
22,66.237
23,65.833
24,65.170
25,63.563
26,62.237
27,62.979
28,61.166
29,60.944
30,61.529
31,62.696
32,62.443
33,61.865
34,62.693
35,62.274
36,62.097
37,61.192
38,61.852
39,62.280
40,63.638
41,63.917
42,64.914
43,64.239
44,62.954
45,63.195
46,63.128
47,63.126
48,62.665
49,62.167
50,62.416
51,62.666
52,62.297
53,63.043
54,62.936
55,62.935
56,63.028
57,63.278
58,63.028
59,61.788
60,62.364
61,61.813
62,60.571
63,60.321
64,60.932
65,61.179
66,60.428
67,58.935
68,59.220
69,59.431
70,59.466
71,58.540
72,58.923
73,58.476
74,58.925
75,59.953
76,61.479
77,61.608
78,61.641
79,62.244
80,63.130
81,63.159
82,63.735
83,64.078
84,64.200
85,63.580
86,63.256
87,63.007
88,63.113
89,63.537
90,64.253
91,64.731
92,64.240
93,64.500
94,65.246
95,65.658
96,65.748
97,64.346
98,63.835
99,63.502
100,63.252
101,63.747
102,63.745
103,62.408
104,61.651
105,61.318
106,61.312
107,61.063
108,61.939
109,59.968
110,59.525
111,60.692
112,61.937
113,62.699
114,63.590
115,64.584
116,66.263
117,68.707
118,70.949
119,72.186
120,73.019
121,72.066
122,71.089
123,69.331
124,68.139
125,67.197
126,66.331
127,66.807
128,67.471
129,66.976
130,66.579
131,67.660
132,68.640
133,68.250
134,68.909
135,70.758
136,72.648
137,74.094
138,74.006
139,73.720
140,74.712
141,78.030
142,80.570
143,82.994
144,84.934
145,81.406
146,77.404
147,74.386
148,73.560
149,73.230
150,73.830
151,75.620
152,75.877
153,75.301
154,76.511
155,78.379
156,76.507
157,74.478
158,73.246
159,71.901
160,69.704
161,68.275
162,68.926
163,70.453
164,71.707
165,72.985
166,75.918
167,78.025
168,79.858
169,81.316
170,81.150
171,80.590
172,79.518
173,79.007
174,78.479
175,74.825
176,70.701
177,67.784
178,66.446
179,63.738
180,63.410
181,65.853
182,68.136
183,68.306
184,68.638
185,69.738
186,69.986
187,69.845
188,71.068
189,70.217
190,70.462
191,71.183
192,70.952
193,70.920
194,71.588
195,71.015
196,70.323
197,70.290
198,71.803
199,75.750
200,79.868
201,81.869
202,80.793
203,78.966
204,79.999
205,79.847
206,82.045
207,82.495
208,82.318
209,81.421
210,79.148
211,77.275
212,76.439
213,74.364
214,72.859
215,71.583
216,71.294
217,71.102
218,72.017
219,73.058
220,71.017
221,67.727
222,65.659
223,65.578
224,65.544
225,65.842
226,66.922
227,67.633
228,68.003
229,69.176
230,69.903
231,69.990
232,70.241
233,69.247
234,69.222
235,69.452
236,70.314
237,71.042
238,71.457
239,72.363
240,73.614
241,73.517
242,73.205
243,74.111
244,74.644
245,75.445
246,76.186
247,75.941
248,75.241
249,75.223
250,74.512
251,74.578
252,72.596
253,69.235
254,67.806
255,71.034
256,75.077
257,76.567
258,78.401
259,79.930
260,79.417
261,78.729
262,77.144
263,75.856
264,74.406
265,73.351
266,73.568
267,72.540
268,68.862
269,64.925
270,64.125
271,64.375
272,67.398
273,69.949
274,70.029
275,71.294
276,75.423
277,79.574
278,85.165
279,89.858
280,94.756
281,97.839
282,100.045
283,101.020
284,98.936
285,95.096
286,92.655
287,89.963
288,87.208
289,84.914
290,82.577
291,80.647
292,79.623
293,79.206
294,78.380
295,78.314
296,80.260
297,83.679
298,85.848
299,86.254
300,85.341
301,86.243
302,86.237
303,85.727
304,83.737
305,82.151
306,78.686
307,75.621
308,72.429
309,72.124
310,72.878
311,74.036
312,75.499
313,75.341
314,76.365
315,76.646
316,76.745
317,75.457
318,75.722
319,75.711
320,77.521
321,80.637
322,85.376
323,91.549
324,98.037
325,102.523
326,107.221
327,108.193
328,107.176
329,105.474
330,100.367
331,94.926
332,92.104
333,89.820
334,89.081
335,90.325
336,91.067
337,92.592
338,93.221
339,92.865
340,92.113
341,91.459
342,91.521
343,91.967
344,92.842
345,94.042
346,95.837
347,98.106
348,101.511
349,103.855
350,106.107
351,108.106
352,111.016
353,112.190
354,113.879
355,115.852
356,116.653
357,117.677
358,118.487
359,118.834
360,118.948
361,117.950
362,117.335
363,117.585
364,117.865
365,117.896
366,118.318
367,119.922
368,122.442
369,125.622
370,129.824
371,133.098
372,138.150
373,141.116
374,145.036
375,147.196
376,150.306
377,148.994
378,148.797
379,172.168
380,211.824
381,227.200
382,236.447
383,244.298
384,247.745
385,249.252
386,250.071
387,250.940
388,252.424
389,252.169
390,252.878
391,253.636
392,254.256
393,254.089
394,254.117
395,253.920
396,254.379
397,254.257
398,254.048
399,254.292
400,253.708
401,252.959
402,252.455
403,252.121
404,252.202
405,250.989
406,249.400
407,247.282
408,245.760
409,246.080
410,246.631
411,246.478
412,241.159
413,232.980
414,223.892
415,205.302
416,177.246
417,169.449
418,172.561
419,174.183
420,164.157
421,148.472
422,130.767
423,123.235
424,120.398
425,117.972
426,118.550
427,120.257
428,121.252
429,119.971
430,118.460
431,116.744
432,114.557
433,114.001
434,114.975
435,116.393
436,118.419
437,120.333
438,120.641
439,121.394
440,121.092
441,118.431
442,113.944
443,105.917
444,100.777
445,96.468
446,92.356
447,90.200
448,88.575
449,86.398
450,85.193
451,83.539
452,83.775
453,82.086
454,80.519
455,78.704
456,75.972
457,74.142
458,70.597
459,68.461
460,66.486
461,66.101
462,65.355
463,66.141
464,67.625
465,70.225
466,76.916
467,84.521
468,92.231
469,99.728
470,105.399
471,109.544
472,113.218
473,114.348
474,114.599
475,111.952
476,106.607
477,99.299
478,92.003
479,85.452
480,79.982
481,76.073
482,76.118
483,75.559
484,74.531
485,72.450
486,70.976
487,69.895
488,71.158
489,73.058
490,74.160
491,73.493
492,70.738
493,66.515
494,66.259
495,66.752
496,67.026
497,72.253
498,76.571
499,76.160
500,73.832
501,72.331
502,70.671
503,71.100
504,72.775
505,73.349
506,72.672
507,71.840
508,71.920
509,70.884
510,68.868
511,67.297
512,67.309
513,69.716
514,72.149
515,73.922
516,74.625
517,73.758
518,75.150
519,77.493
520,78.707
521,77.960
522,76.902
523,75.646
524,73.658
525,73.487
526,74.353
527,75.055
528,76.154
529,76.669
530,77.137
531,77.193
532,75.097
533,75.136
534,74.234
535,72.450
536,71.558
537,71.447
538,72.850
539,74.148
540,76.666
541,78.332
542,79.330
543,79.983
544,81.097
545,80.989
546,79.996
547,80.267
548,79.909
549,78.830
550,77.937
551,77.542
552,76.818
553,76.501
554,75.452
555,75.076
556,75.250
557,75.052
558,73.683
559,72.984
560,73.560
561,71.421
562,69.164
563,70.317
564,70.586
565,72.739
566,73.320
567,73.815
568,75.933
569,77.008
570,78.086
571,78.330
572,78.153
573,77.642
574,77.578
575,77.835
576,78.252
577,78.633
578,78.800
579,79.164
580,79.363
581,79.947
582,79.062
583,81.917
584,84.602
585,87.356
586,89.057
587,81.743
588,75.104
589,76.454
590,80.549
591,80.889
592,78.566
593,77.864
594,78.193
595,81.163
596,82.440
597,81.631
598,81.419
599,80.251
600,78.008
601,77.371
602,75.701
603,72.920
604,71.758
605,71.265
606,71.925
607,73.171
608,75.321
609,77.039
610,79.357
611,79.463
612,80.140
613,81.148
614,82.790
615,80.984
616,81.223
617,81.930
618,80.682
619,80.399
620,79.952
621,79.184
622,79.597
623,79.519
624,78.088
625,75.343
626,72.439
627,70.139
628,69.154
629,67.037
630,66.936
631,67.697
632,67.200
633,66.860
634,66.691
635,66.443
636,65.476
637,65.980
638,67.997
639,68.247
640,67.500
641,66.927
642,67.079
643,67.896
644,69.058
645,69.557
646,69.875
647,70.255
648,70.811
649,70.117
650,68.691
651,67.184
652,64.810
653,64.487
654,64.176
655,64.807
656,65.803
657,65.284
658,64.566
659,65.012
660,64.651
661,64.066
662,63.685
663,63.687
664,63.536
665,62.996
666,63.042
667,63.540
668,64.329
669,63.586
670,63.838
671,64.624
672,65.572
673,65.818
674,65.733
675,64.955
676,64.538
677,63.546
678,62.891
679,62.668
680,62.415
681,62.144
682,62.643
683,63.165
684,63.164
685,62.444
686,63.936
687,65.662
688,65.654
689,64.927
690,65.322
691,64.104
692,64.282
693,64.517
694,64.254
695,62.760
696,62.518
697,63.757
698,64.004
699,64.500
700,64.496
701,64.250
702,64.090
703,64.827
704,65.075
705,65.322
706,65.244
707,65.245
708,65.731
709,64.740
710,63.987
711,63.004
712,63.237
713,63.734
714,63.734
715,63.480
716,63.841
717,65.050
718,65.525
719,65.841
720,66.696
721,66.427
722,65.736
723,66.481
724,66.896
725,66.895
726,66.677
727,66.711
728,66.774
729,66.702
730,66.487
731,66.238
732,66.322
733,66.820
734,66.999
735,66.500
736,66.346
737,66.141
738,65.508
739,64.807
740,63.816
741,63.815
742,63.321
743,63.024
744,62.723
745,62.669
746,62.945
