Distance_(pixels),Gray_Value
0,48.492
1,48.278
2,48.121
3,47.886
4,47.612
5,47.457
6,47.347
7,47.344
8,47.379
9,47.347
10,47.174
11,47.127
12,47.143
13,47.145
14,47.200
15,47.274
16,47.253
17,47.368
18,47.469
19,47.589
20,47.706
21,47.823
22,47.932
23,48.073
24,48.155
25,48.330
26,48.580
27,48.837
28,49.178
29,49.689
30,50.041
31,50.487
32,50.932
33,51.432
34,52.093
35,52.550
36,52.988
37,53.668
38,54.069
39,54.371
40,54.733
41,54.906
42,54.905
43,55.070
44,55.124
45,55.119
46,55.175
47,55.229
48,55.285
49,55.395
50,55.496
51,55.703
52,56.069
53,56.388
54,56.692
55,56.986
56,57.277
57,57.582
58,57.845
59,58.138
60,58.238
61,58.223
62,58.324
63,58.404
64,58.391
65,58.336
66,58.230
67,58.053
68,57.904
69,57.853
70,57.709
71,57.535
72,57.401
73,57.211
74,57.176
75,57.147
76,57.144
77,57.233
78,57.083
79,57.104
80,57.131
81,57.212
82,57.155
83,57.285
84,57.221
85,57.132
86,56.994
87,56.989
88,56.816
89,56.664
90,56.459
91,56.289
92,56.225
93,56.133
94,56.029
95,55.855
96,55.895
97,55.786
98,55.726
99,55.782
100,55.635
101,55.603
102,55.486
103,55.296
104,55.036
105,54.799
106,54.560
107,54.132
108,53.754
109,53.392
110,53.034
111,52.661
112,52.346
113,52.190
114,52.095
115,52.028
116,52.085
117,52.261
118,52.445
119,52.830
120,53.181
121,53.600
122,53.951
123,54.370
124,54.708
125,55.080
126,55.549
127,55.818
128,56.214
129,56.516
130,56.842
131,57.168
132,57.382
133,57.511
134,57.666
135,57.744
136,57.755
137,58.008
138,57.957
139,58.035
140,58.089
141,58.103
142,58.139
143,58.241
144,58.313
145,58.385
146,58.438
147,58.587
148,58.694
149,58.796
150,58.938
151,59.159
152,59.265
153,59.344
154,59.462
155,59.527
156,59.626
157,59.596
158,59.617
159,59.667
160,59.718
161,59.684
162,59.755
163,59.869
164,59.971
165,59.916
166,59.902
167,59.925
168,59.880
169,59.958
170,60.033
171,59.920
172,59.648
173,59.472
174,59.233
175,58.958
176,58.706
177,58.546
178,58.399
179,58.248
180,58.191
181,58.026
182,57.920
183,57.899
184,57.891
185,58.035
186,58.129
187,58.271
188,58.496
189,58.624
190,58.766
191,58.936
192,59.019
193,59.149
194,59.293
195,59.417
196,59.404
197,59.389
198,59.389
199,59.351
200,59.220
201,59.087
202,58.981
203,58.945
204,58.818
205,58.668
206,58.549
207,58.494
208,58.502
209,58.549
210,58.554
211,58.603
212,58.614
213,58.733
214,58.857
215,58.962
216,59.111
217,59.253
218,59.420
219,59.583
220,59.641
221,59.621
222,59.700
223,59.784
224,59.847
225,59.986
226,60.117
227,60.167
228,60.279
229,60.350
230,60.471
231,60.471
232,60.412
233,60.507
234,60.574
235,60.704
236,60.820
237,60.928
238,61.139
239,61.242
240,61.297
241,61.365
242,61.467
243,61.650
244,61.813
245,61.954
246,62.116
247,62.255
248,62.421
249,62.541
250,62.586
251,62.577
252,62.643
253,62.632
254,62.634
255,62.655
256,62.677
257,62.714
258,62.675
259,62.515
260,62.528
261,62.551
262,62.459
263,62.396
264,62.469
265,62.582
266,62.729
267,62.833
268,62.915
269,62.909
270,62.947
271,63.023
272,62.917
273,62.857
274,62.763
275,62.670
276,62.480
277,62.244
278,62.062
279,61.853
280,61.649
281,61.452
282,61.277
283,61.233
284,61.154
285,61.027
286,60.917
287,60.918
288,60.796
289,60.784
290,60.695
291,60.702
292,60.754
293,60.690
294,60.728
295,60.748
296,60.816
297,60.871
298,60.937
299,60.997
300,61.068
301,61.255
302,61.453
303,61.708
304,61.891
305,62.153
306,62.411
307,62.601
308,62.824
309,63.093
310,63.374
311,63.558
312,63.740
313,63.956
314,64.169
315,64.372
316,64.562
317,64.770
318,64.906
319,65.141
320,65.367
321,65.556
322,65.759
323,65.963
324,66.322
325,66.668
326,66.931
327,67.202
328,67.470
329,67.781
