Distance_(pixels),Gray_Value
0,57.264
1,55.994
2,55.837
3,55.179
4,54.339
5,54.860
6,55.318
7,55.178
8,55.296
9,56.023
10,56.355
11,54.523
12,54.412
13,55.010
14,55.704
15,55.555
16,54.911
17,54.393
18,54.251
19,54.174
20,54.221
21,53.309
22,52.446
23,51.198
24,51.517
25,50.499
26,50.262
27,49.945
28,50.566
29,50.738
30,51.152
31,51.138
32,49.896
33,49.980
34,49.953
35,49.719
36,49.394
37,49.211
38,49.005
39,48.856
40,48.774
41,48.396
42,48.345
43,48.577
44,49.259
45,49.525
46,49.816
47,49.789
48,50.772
49,50.343
50,50.269
51,50.064
52,50.631
53,51.591
54,52.172
55,51.900
56,52.030
57,51.875
58,52.387
59,52.855
60,53.210
61,53.538
62,54.130
63,55.038
64,56.351
65,58.417
66,59.667
67,60.579
68,60.439
69,60.456
70,61.818
71,60.878
72,61.644
73,62.000
74,61.257
75,60.722
76,60.295
77,59.828
78,59.689
79,59.867
80,59.623
81,59.192
82,59.253
83,59.558
84,59.608
85,60.573
86,62.006
87,62.170
88,62.490
89,63.047
90,64.896
91,65.442
92,64.252
93,64.202
94,64.796
95,63.966
96,62.767
97,62.125
98,62.612
99,62.967
100,63.088
101,62.516
102,62.177
103,61.688
104,61.948
105,61.882
106,62.121
107,61.791
108,61.594
109,61.336
110,61.479
111,61.564
112,61.363
113,60.887
114,60.934
115,61.243
116,62.125
117,62.752
118,62.602
119,61.990
120,61.942
121,61.550
122,61.446
123,61.349
124,61.266
125,61.188
126,61.534
127,61.662
128,61.262
129,60.649
130,60.013
131,60.098
132,59.867
133,59.146
134,58.288
135,57.793
136,58.209
137,58.262
138,57.147
139,56.279
140,56.283
141,56.076
142,55.221
143,54.182
144,54.052
145,53.945
146,53.891
147,53.673
148,54.114
149,54.392
150,55.705
151,56.283
152,56.377
153,56.524
154,57.398
155,58.074
156,57.857
157,57.459
158,58.272
159,58.988
160,60.781
161,62.525
162,61.968
163,62.279
164,62.558
165,61.780
166,61.988
167,61.293
168,61.493
169,61.827
170,61.695
171,61.281
172,60.948
173,60.917
174,60.737
175,61.050
176,61.887
177,61.921
178,61.890
179,62.292
180,62.499
181,62.601
182,63.113
183,63.103
184,62.632
185,62.311
186,62.297
187,62.306
188,61.905
189,61.596
190,61.307
191,61.287
192,61.142
193,61.431
194,61.647
195,61.481
196,61.767
197,61.895
198,62.464
199,63.492
200,64.272
201,64.072
202,64.125
203,63.798
204,63.041
205,62.808
206,62.927
207,62.579
208,62.266
209,62.675
210,62.850
211,62.861
