Distance_(pixels),Gray_Value
0,11.667
1,10.634
2,11.623
3,13.650
4,14.022
5,13.946
6,13.870
7,13.848
8,14.116
9,15.089
10,14.225
11,14.214
12,14.008
13,13.980
14,13.181
15,14.170
16,13.653
17,14.354
18,13.845
19,15.199
20,15.813
21,14.421
22,15.020
23,15.585
24,14.291
25,13.655
26,13.204
27,14.161
28,14.573
29,13.389
30,12.845
31,13.663
32,13.174
33,12.129
34,10.410
35,10.957
36,11.988
37,10.265
38,9.635
39,8.973
40,8.697
41,9.000
42,9.000
43,9.000
44,8.283
45,7.534
46,7.251
47,7.235
48,7.667
49,7.869
50,7.852
51,7.836
52,7.820
53,6.940
54,7.667
55,8.458
56,7.667
57,6.738
58,6.722
59,6.667
60,5.689
61,6.667
62,7.657
63,6.641
64,6.624
65,6.667
66,6.667
67,6.667
68,6.667
69,5.790
70,6.667
71,6.667
72,7.667
73,7.478
74,6.667
75,6.667
76,7.429
77,7.667
78,8.396
79,8.380
80,8.697
81,8.000
82,8.000
83,8.648
84,9.000
85,9.384
86,9.401
87,10.000
88,9.567
89,9.550
90,9.868
91,10.851
92,11.670
93,12.152
94,12.667
95,12.969
96,12.897
97,13.333
98,14.000
99,14.742
100,15.124
101,15.473
102,15.452
103,15.430
104,16.408
105,17.483
106,18.698
107,18.676
108,17.747
109,17.817
110,19.000
111,19.128
112,19.469
113,19.585
114,19.669
115,19.466
116,19.295
117,19.252
118,19.208
119,19.227
120,20.091
121,20.059
122,20.684
123,20.655
124,19.961
125,19.631
126,20.896
127,20.530
128,21.746
129,21.697
130,20.687
131,20.066
132,19.934
133,19.890
134,20.241
135,19.801
136,20.523
137,20.281
138,19.505
139,19.472
140,19.720
141,19.704
142,19.708
143,19.456
144,18.849
145,19.582
146,18.911
147,18.484
148,18.453
149,17.382
150,16.928
151,16.901
152,17.240
153,17.191
154,16.984
155,16.618
156,16.378
157,15.810
158,15.045
159,14.154
160,14.122
161,13.504
162,13.482
163,12.909
164,12.996
165,12.875
166,11.963
167,10.707
168,10.861
169,10.248
170,9.769
171,8.452
172,6.667
173,6.667
174,7.111
175,8.100
176,8.000
177,9.000
178,9.000
179,8.915
180,8.000
181,7.052
182,7.000
183,7.000
184,7.000
185,8.000
186,8.000
187,7.000
188,8.000
189,8.000
190,7.000
191,8.000
192,8.000
193,8.000
194,8.000
195,9.000
196,10.141
197,10.125
198,11.333
199,13.426
200,14.333
201,15.060
202,14.333
203,14.333
204,15.559
205,15.774
206,14.882
207,15.714
208,16.817
209,16.795
210,16.527
211,16.709
212,18.396
213,19.708
214,20.343
215,20.998
216,22.458
217,22.598
218,24.382
219,25.678
220,26.390
221,26.135
222,25.948
223,26.736
224,27.253
225,28.447
226,28.745
227,28.707
228,28.907
229,29.604
230,30.000
231,30.000
232,31.260
233,30.470
234,31.000
235,30.173
236,30.261
237,30.233
238,31.206
239,32.441
240,33.788
241,33.767
242,34.745
243,34.723
244,34.061
245,34.023
246,33.987
247,33.977
248,34.922
249,34.889
250,34.857
251,33.824
252,33.493
253,32.466
254,31.863
255,32.412
256,31.164
257,31.691
258,31.532
259,31.376
260,31.354
261,31.332
262,31.977
263,32.239
264,33.167
265,32.368
266,32.334
267,32.318
268,33.180
269,33.031
270,32.402
271,31.391
272,31.380
273,30.185
274,29.537
275,28.681
276,28.670
277,28.659
278,28.648
279,28.333
280,27.894
281,27.577
282,26.802
283,26.058
284,24.833
285,22.692
286,21.456
