Distance_(pixels),Gray_Value
0,47.938
1,46.606
2,46.423
3,46.779
4,46.256
5,45.314
6,44.327
7,42.496
8,41.112
9,40.717
10,40.349
11,40.826
12,40.365
13,40.380
14,41.675
15,43.229
16,43.650
17,44.042
18,43.987
19,44.963
20,45.863
21,45.934
22,45.805
23,45.225
24,45.223
25,44.474
26,44.031
27,43.503
28,42.396
29,41.937
30,41.008
31,40.322
32,40.372
33,40.101
34,40.583
35,42.800
36,44.794
37,45.047
38,44.847
39,46.265
40,45.002
41,44.610
42,44.584
43,45.202
44,44.780
45,44.313
46,44.342
47,45.290
48,45.021
49,44.887
50,45.403
51,45.370
52,45.593
53,45.749
54,45.491
55,43.989
56,45.130
57,43.711
58,43.493
59,43.876
60,44.495
61,45.678
62,46.248
63,45.503
64,45.707
65,46.745
66,46.809
67,46.220
68,47.107
69,46.607
70,46.537
71,48.057
72,49.539
73,50.770
74,51.450
75,51.810
76,52.664
77,53.483
78,54.623
79,54.599
80,55.741
81,55.144
82,52.914
83,49.084
84,44.746
85,40.142
86,37.256
87,35.769
88,34.964
89,35.415
90,37.717
91,43.084
92,48.237
93,50.932
94,51.369
95,50.777
96,48.964
97,48.962
98,49.084
99,48.253
100,45.821
101,42.803
102,41.360
103,40.867
104,40.988
105,42.192
106,42.943
107,42.451
108,43.407
109,44.404
110,44.565
111,44.292
112,44.175
113,43.632
114,43.425
115,43.620
116,43.450
117,41.767
118,40.363
119,40.129
120,41.331
121,43.204
122,45.262
123,45.781
124,44.941
125,43.579
126,43.554
127,42.240
128,41.347
129,39.607
130,41.284
131,42.827
132,43.168
133,43.681
134,44.840
135,47.464
136,48.281
137,49.669
138,52.462
139,54.950
140,58.032
141,60.320
142,62.030
143,62.585
144,62.802
145,63.380
146,63.964
147,64.935
148,67.181
149,68.578
150,68.365
151,65.664
152,62.380
153,59.616
154,58.389
155,58.072
156,58.223
157,58.825
158,59.811
159,59.276
160,58.392
161,57.534
162,56.288
163,55.099
164,54.029
165,52.298
166,51.329
167,50.044
168,50.381
169,49.758
170,48.627
171,47.847
172,47.334
173,47.477
174,47.675
175,48.219
176,48.723
177,48.901
178,49.300
179,49.974
180,50.561
181,51.392
182,51.798
183,51.264
184,50.729
185,50.157
186,49.952
187,49.722
188,49.761
189,50.216
190,50.612
191,51.058
192,49.991
193,49.892
194,49.644
195,48.763
196,47.844
197,47.073
198,45.998
199,45.079
200,44.593
201,44.224
202,44.978
203,44.686
204,44.049
205,45.825
206,48.126
207,51.732
208,57.560
209,61.538
210,66.551
211,67.210
212,68.264
213,68.975
214,69.235
215,71.738
216,73.725
217,74.455
218,75.335
219,74.628
220,70.003
221,64.845
222,59.381
223,55.124
224,52.967
225,51.424
226,51.471
227,51.619
228,51.744
229,52.506
230,53.068
231,52.321
232,51.669
233,52.293
234,53.263
235,54.376
236,55.291
237,56.163
238,56.533
239,57.072
240,57.800
241,57.906
242,60.707
243,64.600
244,69.892
245,75.141
246,79.792
247,80.477
248,78.442
249,76.418
250,73.552
251,71.080
252,70.039
253,69.667
254,70.373
255,71.298
256,71.809
257,72.834
258,72.164
259,71.172
260,70.352
261,69.863
262,69.299
263,69.389
264,69.763
265,71.744
266,73.306
267,73.476
268,74.690
269,78.982
270,83.111
271,85.052
272,84.869
273,83.514
274,81.265
275,80.080
276,81.431
277,86.268
278,93.104
